year,word,frequency
1716,toucan,0.033423
1717,hyena,0.077523
1717,kangaroo,0.003256
1717,macaw,0.040839
1717,ostrich,0.536385
1717,penguin,0.139245
1717,tapir,0.024053
1717,tiger,1.270509
1717,toucan,0.026986
1718,hyena,0.070651
1718,kangaroo,0.001057
1718,macaw,0.032971
1718,ostrich,0.523036
1718,penguin,0.18754
1718,tapir,0.020249
1718,tiger,1.361794
1718,toucan,0.018569
1718,wombat,0.0
1719,hyena,0.06675
1719,kangaroo,0.000507
1719,macaw,0.021138
1719,ostrich,0.516476
1719,penguin,0.214368
1719,tapir,0.016733
1719,tiger,1.424906
1719,toucan,0.011125
1719,wombat,0.00012
1720,hyena,0.062579
1720,kangaroo,0.000949
1720,macaw,0.011021
1720,ostrich,0.52098
1720,penguin,0.204172
1720,tapir,0.01456
1720,tiger,1.453276
1720,toucan,0.006681
1720,wombat,0.000475
1721,hyena,0.055989
1721,kangaroo,0.002924
1721,macaw,0.005697
1721,ostrich,0.531589
1721,penguin,0.162858
1721,tapir,0.0128
1721,tiger,1.448688
1721,toucan,0.006744
1721,wombat,0.001462
1722,hyena,0.04853
1722,kangaroo,0.007013
1722,macaw,0.00593
1722,ostrich,0.548619
1722,penguin,0.116596
1722,tapir,0.010137
1722,tiger,1.410218
1722,toucan,0.012276
1722,wombat,0.003507
1723,hyena,0.043693
1723,kangaroo,0.013102
1723,macaw,0.012135
1723,ostrich,0.580988
1723,penguin,0.090157
1723,tapir,0.006712
1723,tiger,1.351037
1723,toucan,0.022604
1723,wombat,0.006551
1724,hyena,0.042213
1724,kangaroo,0.019064
1724,macaw,0.02409
1724,ostrich,0.633618
1724,penguin,0.090248
1724,tapir,0.003513
1724,tiger,1.294232
1724,toucan,0.033831
1724,wombat,0.009638
1725,hyena,0.042309
1725,kangaroo,0.021602
1725,macaw,0.039091
1725,ostrich,0.696334
1725,penguin,0.103993
1725,tapir,0.001464
1725,tiger,1.258286
1725,toucan,0.04002
1725,wombat,0.011221
1726,hyena,0.040949
1726,kangaroo,0.019064
1726,macaw,0.050915
1726,ostrich,0.747004
1726,penguin,0.113533
1726,tapir,0.000475
1726,tiger,1.249625
1726,toucan,0.037227
1726,wombat,0.010826
1727,hyena,0.038968
1727,kangaroo,0.013102
1727,macaw,0.05411
1727,ostrich,0.769483
1727,penguin,0.112362
1727,tapir,0.00012
1727,tiger,1.263341
1727,toucan,0.027271
1727,wombat,0.009656
1728,hyena,0.040197
1728,kangaroo,0.007013
1728,macaw,0.04825
1728,ostrich,0.768257
1728,penguin,0.107552
1728,tapir,0.0
1728,tiger,1.288849
1728,toucan,0.015863
1728,wombat,0.009308
1729,hyena,0.046609
1729,kangaroo,0.002924
1729,macaw,0.037953
1729,ostrich,0.759613
1729,penguin,0.1083
1729,tiger,1.310683
1729,toucan,0.007615
1729,wombat,0.009902
1730,hyena,0.054308
1730,kangaroo,0.000949
1730,macaw,0.028137
1730,ostrich,0.753461
1730,penguin,0.11492
1730,tapir,0.0
1730,tiger,1.312443
1730,toucan,0.004128
1730,wombat,0.010039
1731,hyena,0.055454
1731,kangaroo,0.00024
1731,koala,0.0
1731,macaw,0.021309
1731,ostrich,0.741807
1731,penguin,0.118666
1731,tapir,8e-05
1731,tiger,1.290218
1731,toucan,0.004763
1731,wombat,0.00856
1732,chimpanzee,0.0
1732,hyena,0.04622
1732,kangaroo,0.0
1732,koala,0.0001
1732,macaw,0.01794
1732,ostrich,0.71494
1732,penguin,0.110786
1732,tapir,0.000317
1732,tiger,1.242609
1732,toucan,0.008861
1732,wombat,0.005801
1733,chimpanzee,0.000171
1733,hyena,0.030833
1733,koala,0.000397
1733,macaw,0.017586
1733,ostrich,0.684261
1733,penguin,0.089514
1733,tapir,0.000976
1733,tiger,1.179246
1733,toucan,0.015934
1733,wombat,0.003105
1734,chimpanzee,0.000677
1734,hyena,0.016888
1734,koala,0.001223
1734,macaw,0.018772
1734,ostrich,0.679443
1734,penguin,0.061811
1734,tapir,0.00245
1734,tiger,1.118135
1734,toucan,0.024987
1734,wombat,0.001294
1735,chimpanzee,0.002085
1735,hyena,0.009484
1735,koala,0.002935
1735,macaw,0.018906
1735,ostrich,0.721169
1735,penguin,0.037105
1735,tapir,0.004801
1735,tiger,1.095288
1735,toucan,0.034728
1735,wombat,0.00042
1736,chimpanzee,0.005003
1736,hyena,0.009717
1736,koala,0.005482
1736,macaw,0.016175
1736,ostrich,0.792063
1736,penguin,0.022238
1736,tapir,0.007676
1736,tiger,1.130484
1736,toucan,0.04423
1736,wombat,0.000106
1737,chimpanzee,0.009579
1737,hyena,0.016131
1737,koala,0.007977
1737,macaw,0.011867
1737,ostrich,0.844805
1737,penguin,0.017389
1737,tapir,0.010356
1737,tiger,1.221497
1737,toucan,0.05247
1737,wombat,0.0
1738,chimpanzee,0.014611
1738,hyena,0.025796
1738,koala,0.009039
1738,macaw,0.008632
1738,ostrich,0.836428
1738,penguin,0.020366
1738,tapir,0.012235
1738,tiger,1.339299
1738,toucan,0.057864
1739,chimpanzee,0.018607
1739,hyena,0.034705
1739,koala,0.007977
1739,macaw,0.008737
1739,ostrich,0.764575
1739,penguin,0.029666
1739,tapir,0.013013
1739,tiger,1.437111
1739,toucan,0.058174
1740,chimpanzee,0.021518
1740,hyena,0.040134
1740,koala,0.005482
1740,macaw,0.012115
1740,ostrich,0.667214
1740,penguin,0.049645
1740,tapir,0.012408
1740,tiger,1.490916
1740,toucan,0.052157
1741,chimpanzee,0.024876
1741,hyena,0.044935
1741,koala,0.002935
1741,macaw,0.017976
1741,ostrich,0.597144
1741,penguin,0.088608
1741,tapir,0.010721
1741,tiger,1.517222
1741,toucan,0.041402
1742,chimpanzee,0.029059
1742,hyena,0.054321
1742,koala,0.001223
1742,macaw,0.02524
1742,ostrich,0.588211
1742,penguin,0.151767
1742,tapir,0.009079
1742,tiger,1.570746
1742,toucan,0.029532
1743,chimpanzee,0.032033
1743,hummingbird,0.0
1743,hyena,0.06917
1743,koala,0.000397
1743,macaw,0.033416
1743,ostrich,0.636166
1743,penguin,0.232472
1743,tapir,0.008628
1743,tiger,1.688419
1743,toucan,0.02051
1744,chimpanzee,0.031504
1744,hummingbird,0.000258
1744,hyena,0.082554
1744,koala,0.0001
1744,macaw,0.040907
1744,ostrich,0.705159
1744,penguin,0.308807
1744,tapir,0.00924
1744,tiger,1.83846
1744,toucan,0.017142
1745,chimpanzee,0.027764
1745,hummingbird,0.001022
1745,hyena,0.085665
1745,koala,0.0
1745,macaw,0.046405
1745,ostrich,0.747719
1745,penguin,0.353609
1745,tapir,0.009594
1745,tiger,1.938128
1745,toucan,0.01946
1746,chimpanzee,0.022845
1746,hummingbird,0.003147
1746,hyena,0.076639
1746,macaw,0.049641
1746,ostrich,0.739688
1746,penguin,0.355507
1746,tapir,0.008761
1746,tiger,1.934265
1746,toucan,0.024697
1747,chimpanzee,0.01811
1747,hummingbird,0.007601
1747,hyena,0.062395
1747,macaw,0.051301
1747,ostrich,0.691597
1747,penguin,0.328253
1747,tapir,0.007294
1747,tiger,1.848858
1747,toucan,0.028619
1748,chimpanzee,0.013461
1748,hummingbird,0.014307
1748,hyena,0.051617
1748,kangaroo,0.0
1748,macaw,0.050856
1748,ostrich,0.638572
1748,penguin,0.298326
1748,tapir,0.006531
1748,tiger,1.732053
1748,toucan,0.029177
1749,chimpanzee,0.009414
1749,hummingbird,0.021145
1749,hyena,0.048713
1749,kangaroo,6.1e-05
1749,macaw,0.046154
1749,ostrich,0.613549
1749,penguin,0.28021
1749,tapir,0.007259
1749,tiger,1.613822
1749,toucan,0.027377
1750,chimpanzee,0.007137
1750,hummingbird,0.02475
1750,hyena,0.052368
1750,kangaroo,0.000239
1750,macaw,0.036167
1750,ostrich,0.629686
1750,penguin,0.26629
1750,tapir,0.009471
1750,tiger,1.4847
1750,toucan,0.025835
1751,chimpanzee,0.007282
1751,hummingbird,0.023318
1751,hyena,0.06015
1751,kangaroo,0.000737
1751,koala,0.0
1751,macaw,0.023824
1751,ostrich,0.677889
1751,penguin,0.241147
1751,tapir,0.014433
1751,tiger,1.342476
1751,toucan,0.026028
1752,chimpanzee,0.008686
1752,hummingbird,0.018233
1752,hyena,0.072844
1752,kangaroo,0.001769
1752,koala,6e-05
1752,macaw,0.013612
1752,ostrich,0.73248
1752,penguin,0.205063
1752,tapir,0.023987
1752,tiger,1.21539
1752,toucan,0.028347
1753,chimpanzee,0.009407
1753,hummingbird,0.012444
1753,hyena,0.092079
1753,kangaroo,0.003305
1753,koala,0.000237
1753,macaw,0.008435
1753,ostrich,0.764668
1753,penguin,0.174291
1753,tapir,0.038113
1753,tiger,1.13753
1753,toucan,0.032489
1754,chimpanzee,0.008324
1754,hummingbird,0.008179
1754,hyena,0.114774
1754,kangaroo,0.004809
1754,koala,0.000729
1754,macaw,0.007456
1754,ostrich,0.760944
1754,penguin,0.165832
1754,tapir,0.051927
1754,tiger,1.130951
1754,toucan,0.038051
1755,chimpanzee,0.006167
1755,hummingbird,0.006328
1755,hyena,0.132257
1755,kangaroo,0.005449
1755,koala,0.001749
1755,macaw,0.009281
1755,ostrich,0.73193
1755,penguin,0.190493
1755,tapir,0.058685
1755,tiger,1.221467
1755,toucan,0.04557
1756,chimpanzee,0.004371
1756,hummingbird,0.006975
1756,hyena,0.137248
1756,kangaroo,0.004809
1756,koala,0.003267
1756,macaw,0.013073
1756,ostrich,0.720327
1756,penguin,0.25215
1756,tapir,0.055834
1756,tiger,1.444485
1756,toucan,0.055684
1757,chimpanzee,0.003821
1757,hummingbird,0.009332
1757,hyena,0.130884
1757,kangaroo,0.003305
1757,koala,0.004753
1757,macaw,0.018745
1757,ostrich,0.773212
1757,penguin,0.345005
1757,tapir,0.047203
1757,tiger,1.790416
1757,toucan,0.066963
1758,chimpanzee,0.004149
1758,hummingbird,0.012087
1758,hyena,0.123488
1758,kangaroo,0.001769
1758,koala,0.005386
1758,macaw,0.024493
1758,ostrich,0.894219
1758,penguin,0.443906
1758,tapir,0.038222
1758,tiger,2.156956
1758,toucan,0.07531
1759,chimpanzee,0.004345
1759,hummingbird,0.013485
1759,hyena,0.124717
1759,kangaroo,0.000737
1759,koala,0.004753
1759,macaw,0.027258
1759,ostrich,1.015939
1759,penguin,0.507098
1759,tapir,0.030654
1759,tiger,2.374438
1759,toucan,0.077371
1760,chimpanzee,0.003788
1760,hummingbird,0.013367
1760,hyena,0.136125
1760,kangaroo,0.000239
1760,koala,0.003267
1760,macaw,0.026064
1760,ostrich,1.049675
1760,penguin,0.504709
1760,tapir,0.023323
1760,tiger,2.339387
1760,toucan,0.076522
1761,chimpanzee,0.002966
1761,hummingbird,0.013116
1761,hyena,0.150246
1761,kangaroo,0.000191
1761,koala,0.001749
1761,macaw,0.024001
1761,ostrich,0.969631
1761,penguin,0.442239
1761,tapir,0.01592
1761,tiger,2.113643
1761,toucan,0.080117
1762,chimpanzee,0.002777
1762,hummingbird,0.0141
1762,hyena,0.155916
1762,kangaroo,0.000518
1762,koala,0.000729
1762,macaw,0.025218
1762,ostrich,0.840271
1762,penguin,0.353143
1762,tapir,0.009956
1762,tiger,1.858575
1762,toucan,0.091191
1763,chimpanzee,0.004521
1763,hummingbird,0.01594
1763,hyena,0.148585
1763,kangaroo,0.001595
1763,koala,0.000237
1763,macaw,0.031026
1763,ostrich,0.749232
1763,penguin,0.275371
1763,tapir,0.007262
1763,tiger,1.714195
1763,toucan,0.102984
1764,chimpanzee,0.00897
1764,hummingbird,0.016549
1764,hyena,0.132887
1764,kangaroo,0.003872
1764,koala,6e-05
1764,macaw,0.038739
1764,ostrich,0.730483
1764,penguin,0.231528
1764,tapir,0.007739
1764,tiger,1.712931
1764,toucan,0.104443
1765,chimpanzee,0.015463
1765,hummingbird,0.014572
1765,hyena,0.118403
1765,kangaroo,0.007329
1765,koala,0.0
1765,macaw,0.044997
1765,ostrich,0.761685
1765,penguin,0.227739
1765,tapir,0.01027
1765,tiger,1.820846
1765,toucan,0.092072
1766,chimpanzee,0.021302
1766,hummingbird,0.011003
1766,hyena,0.11186
1766,kangaroo,0.010958
1766,macaw,0.047829
1766,ostrich,0.797118
1766,penguin,0.258128
1766,tapir,0.012954
1766,tiger,1.985708
1766,toucan,0.07488
1767,chimpanzee,0.023144
1767,hummingbird,0.008011
1767,hyena,0.113189
1767,kangaroo,0.013301
1767,macaw,0.046896
1767,ostrich,0.803022
1767,penguin,0.310857
1767,tapir,0.014364
1767,tiger,2.166977
1767,toucan,0.06669
1768,chimpanzee,0.019823
1768,hummingbird,0.00669
1768,hyena,0.117064
1768,kangaroo,0.013605
1768,macaw,0.042705
1768,ostrich,0.778635
1768,penguin,0.3721
1768,tapir,0.014087
1768,tiger,2.323748
1768,toucan,0.07365
1768,wombat,0.0
1769,chimpanzee,0.013525
1769,hummingbird,0.006688
1769,hyena,0.116633
1769,kangaroo,0.013085
1769,macaw,0.038409
1769,ostrich,0.750073
1769,penguin,0.435849
1769,tapir,0.013734
1769,tiger,2.428253
1769,toucan,0.091011
1769,wombat,0.000164
1770,chimpanzee,0.00791
1770,hummingbird,0.007522
1770,hyena,0.108934
1770,kangaroo,0.01366
1770,macaw,0.039942
1770,ostrich,0.753829
1770,penguin,0.506735
1770,tapir,0.01615
1770,tiger,2.492858
1770,toucan,0.108098
1770,wombat,0.000648
1771,chimpanzee,0.005222
1771,hummingbird,0.009167
1771,hyena,0.095292
1771,kangaroo,0.016541
1771,macaw,0.051601
1771,ostrich,0.809954
1771,penguin,0.600323
1771,tapir,0.024633
1771,tiger,2.564623
1771,toucan,0.117314
1771,wombat,0.001995
1772,chimpanzee,0.005416
1772,hummingbird,0.011542
1772,hyena,0.081609
1772,kangaroo,0.021036
1772,macaw,0.071784
1772,ostrich,0.908133
1772,penguin,0.727164
1772,tapir,0.040513
1772,tiger,2.679673
1772,toucan,0.118137
1772,wombat,0.004785
1773,chimpanzee,0.00689
1773,hummingbird,0.013633
1773,hyena,0.072003
1773,kangaroo,0.024973
1773,koala,0.0
1773,macaw,0.091553
1773,ostrich,1.015325
1773,penguin,0.872778
1773,tapir,0.06097
1773,tiger,2.822133
1773,toucan,0.112606
1773,wombat,0.008939
1774,chimpanzee,0.007906
1774,hummingbird,0.014414
1774,hyena,0.066438
1774,kangaroo,0.026295
1774,koala,0.000362
1774,macaw,0.10095
1774,ostrich,1.088124
1774,penguin,0.989069
1774,tapir,0.078604
1774,tiger,2.913909
1774,toucan,0.101944
1774,wombat,0.013006
1775,chimpanzee,0.007849
1775,hummingbird,0.013655
1775,hyena,0.06367
1775,kangaroo,0.02463
1775,koala,0.001434
1775,macaw,0.096265
1775,ostrich,1.093315
1775,penguin,1.021761
1775,tapir,0.086055
1775,tiger,2.945455
1775,toucan,0.086522
1775,wombat,0.014738
1776,chimpanzee,0.007163
1776,hummingbird,0.011891
1776,hyena,0.064204
1776,kangaroo,0.020949
1776,koala,0.004416
1776,macaw,0.080799
1776,ostrich,1.028081
1776,penguin,0.94652
1776,tapir,0.081559
1776,tiger,2.990354
1776,toucan,0.068504
1776,wombat,0.013046
1777,chimpanzee,0.006793
1777,hummingbird,0.009767
1777,hyena,0.06986
1777,kangaroo,0.01671
1777,koala,0.010593
1777,macaw,0.061289
1777,ostrich,0.928824
1777,penguin,0.790046
1777,tapir,0.069901
1777,tiger,3.132952
1777,toucan,0.05553
1777,wombat,0.009096
1778,chimpanzee,0.007265
1778,hummingbird,0.008121
1778,hyena,0.079689
1778,kangaroo,0.012893
1778,koala,0.019791
1778,macaw,0.043485
1778,ostrich,0.844203
1778,penguin,0.611403
1778,tapir,0.057167
1778,tiger,3.315444
1778,toucan,0.058373
1778,wombat,0.005269
1779,chimpanzee,0.008569
1779,hummingbird,0.008188
1779,hyena,0.0901
1779,kangaroo,0.009895
1779,koala,0.028795
1779,macaw,0.03069
1779,ostrich,0.806065
1779,penguin,0.473495
1779,tapir,0.04761
1779,tiger,3.3654
1779,toucan,0.082896
1779,wombat,0.003157
1780,chimpanzee,0.010305
1780,hummingbird,0.010753
1780,hyena,0.098767
1780,kangaroo,0.00771
1780,koala,0.032629
1780,macaw,0.023874
1780,ostrich,0.813181
1780,penguin,0.414998
1780,tapir,0.042971
1780,tiger,3.168442
1780,toucan,0.121024
1780,wombat,0.002819
1781,chimpanzee,0.011518
1781,hummingbird,0.015047
1781,hyena,0.106693
1781,kangaroo,0.006441
1781,koala,0.028795
1781,macaw,0.022115
1781,ostrich,0.850014
1781,penguin,0.444706
1781,tapir,0.046117
1781,tiger,2.813686
1781,toucan,0.152946
1781,wombat,0.003324
1782,chimpanzee,0.011188
1782,hummingbird,0.018592
1782,hyena,0.116945
1782,kangaroo,0.005938
1782,koala,0.019791
1782,macaw,0.025005
1782,ostrich,0.90862
1782,penguin,0.540535
1782,tapir,0.05863
1782,tiger,2.50228
1782,toucan,0.159817
1782,wombat,0.003606
1783,chimpanzee,0.009137
1783,hummingbird,0.019218
1783,hyena,0.132007
1783,kangaroo,0.007279
1783,koala,0.010593
1783,macaw,0.033158
1783,ostrich,0.996976
1783,penguin,0.656844
1783,tapir,0.078621
1783,tiger,2.364086
1783,toucan,0.14027
1783,wombat,0.003259
1784,chimpanzee,0.006592
1784,hummingbird,0.017025
1784,hyena,0.151421
1784,kangaroo,0.013352
1784,koala,0.004536
1784,macaw,0.047437
1784,ostrich,1.114971
1784,penguin,0.7403
1784,tapir,0.098866
1784,tiger,2.385197
1784,toucan,0.10925
1784,wombat,0.002718
1785,chimpanzee,0.005394
1785,hummingbird,0.014171
1785,hyena,0.172697
1785,kangaroo,0.027794
1785,koala,0.001909
1785,macaw,0.068246
1785,ostrich,1.231121
1785,penguin,0.75734
1785,tapir,0.110816
1785,tiger,2.477376
1785,toucan,0.083897
1785,wombat,0.002847
1786,chimpanzee,0.006629
1786,hummingbird,0.012866
1786,hyena,0.195954
1786,kangaroo,0.057661
1786,koala,0.001826
1786,macaw,0.094406
1786,ostrich,1.298727
1786,penguin,0.714082
1786,tapir,0.110021
1786,tiger,2.575772
1786,toucan,0.073354
1786,wombat,0.004783
1787,chimpanzee,0.009921
1787,hummingbird,0.013719
1787,hyena,0.22298
1787,kangaroo,0.111666
1787,koala,0.00351
1787,macaw,0.121145
1787,ostrich,1.301277
1787,penguin,0.651892
1787,tapir,0.101465
1787,tiger,2.69914
1787,toucan,0.080488
1787,wombat,0.00919
1788,chimpanzee,0.013941
1788,hummingbird,0.015941
1788,hyena,0.25476
1788,kangaroo,0.19139
1788,koala,0.006557
1788,macaw,0.138755
1788,ostrich,1.264796
1788,penguin,0.611873
1788,tapir,0.09655
1788,tiger,2.886969
1788,toucan,0.102667
1788,wombat,0.015484
1789,chimpanzee,0.017186
1789,hummingbird,0.01854
1789,hyena,0.28599
1789,kangaroo,0.281933
1789,koala,0.009541
1789,macaw,0.137365
1789,ostrich,1.222216
1789,penguin,0.603181
1789,tapir,0.104238
1789,tiger,3.159316
1789,toucan,0.134694
1789,wombat,0.021287
1790,chimpanzee,0.018973
1790,hummingbird,0.020879
1790,hyena,0.30817
1790,kangaroo,0.353891
1790,koala,0.010811
1790,macaw,0.117084
1790,ostrich,1.174883
1790,penguin,0.602039
1790,tapir,0.121959
1790,tiger,3.458611
1790,toucan,0.167281
1790,wombat,0.023496
1791,chimpanzee,0.019341
1791,hummingbird,0.022969
1791,hyena,0.315846
1791,kangaroo,0.382291
1791,koala,0.009541
1791,macaw,0.090215
1791,ostrich,1.10124
1791,penguin,0.579689
1791,tapir,0.136466
1791,tiger,3.682841
1791,toucan,0.191
1791,wombat,0.020753
1792,chimpanzee,0.018616
1792,hummingbird,0.02546
1792,hyena,0.309697
1792,kangaroo,0.365407
1792,koala,0.006557
1792,macaw,0.0712
1792,ostrich,1.005918
1792,penguin,0.532752
1792,tapir,0.134733
1792,tiger,3.76189
1792,toucan,0.200935
1792,wombat,0.014911
1793,chimpanzee,0.017308
1793,hummingbird,0.028875
1793,hyena,0.294652
1793,kangaroo,0.323001
1793,koala,0.00351
1793,macaw,0.064567
1793,ostrich,0.931872
1793,penguin,0.486222
1793,tapir,0.11918
1793,tiger,3.745445
1793,toucan,0.196352
1793,wombat,0.009183
1794,chimpanzee,0.016595
1794,hummingbird,0.032751
1794,hyena,0.277865
1794,kangaroo,0.285269
1794,koala,0.001551
1794,macaw,0.065288
1794,ostrich,0.927482
1794,penguin,0.472804
1794,tapir,0.10395
1794,tiger,3.770608
1794,toucan,0.183226
1794,wombat,0.006042
1795,chimpanzee,0.017898
1795,hummingbird,0.035243
1795,hyena,0.266624
1795,kangaroo,0.277041
1795,koala,0.000841
1795,macaw,0.06588
1795,meerkat,0.0
1795,ostrich,1.00436
1795,penguin,0.503879
1795,tapir,0.102753
1795,tiger,3.956391
1795,toucan,0.173368
1795,wombat,0.006266
1796,chimpanzee,0.022852
1796,hummingbird,0.034593
1796,hyena,0.265403
1796,kangaroo,0.313403
1796,koala,0.001264
1796,macaw,0.063605
1796,meerkat,9e-06
1796,ostrich,1.128066
1796,penguin,0.562852
1796,tapir,0.116332
1796,tiger,4.300848
1796,toucan,0.175816
1796,wombat,0.009661
1797,chimpanzee,0.032514
1797,hummingbird,0.03078
1797,hyena,0.27561
1797,kangaroo,0.390756
1797,koala,0.002791
1797,macaw,0.060278
1797,meerkat,3.7e-05
1797,ostrich,1.248268
1797,penguin,0.617027
1797,tapir,0.137548
1797,tiger,4.689429
1797,toucan,0.18761
1797,wombat,0.01507
1798,chimpanzee,0.046154
1798,hummingbird,0.025342
1798,hyena,0.294247
1798,kangaroo,0.49184
1798,koala,0.005331
1798,macaw,0.057781
1798,meerkat,0.000114
1798,ostrich,1.335129
1798,penguin,0.644261
1798,tapir,0.160543
1798,tiger,4.985829
1798,toucan,0.195647
1798,wombat,0.020719
1799,chimpanzee,0.059821
1799,hummingbird,0.019981
1799,hyena,0.312393
1799,kangaroo,0.587267
1799,koala,0.007974
1799,macaw,0.056648
1799,meerkat,0.000273
1799,ostrich,1.381204
1799,penguin,0.642464
1799,tapir,0.183344
1799,tiger,5.109887
1799,toucan,0.18863
1799,wombat,0.024853
1800,chimpanzee,0.068118
1800,hummingbird,0.016006
1800,hyena,0.322313
1800,kangaroo,0.645267
1800,koala,0.009352
1800,macaw,0.05565
1800,meerkat,0.000509
1800,ostrich,1.392955
1800,penguin,0.621757
1800,tapir,0.200644
1800,tiger,5.056339
1800,toucan,0.167085
1800,wombat,0.026939
1801,chimpanzee,0.068011
1801,hummingbird,0.014249
1801,hyena,0.323667
1801,kangaroo,0.64382
1801,koala,0.008611
1801,macaw,0.053847
1801,meerkat,0.000741
1801,ostrich,1.383434
1801,penguin,0.590624
1801,tapir,0.203574
1801,tiger,4.899153
1801,toucan,0.143842
1801,wombat,0.027254
1802,chimpanzee,0.061958
1802,hummingbird,0.015365
1802,hyena,0.325322
1802,kangaroo,0.582502
1802,koala,0.006439
1802,macaw,0.052191
1802,meerkat,0.00084
1802,ostrich,1.372813
1802,penguin,0.55623
1802,tapir,0.188299
1802,tiger,4.763802
1802,toucan,0.130813
1802,wombat,0.026494
1803,chimpanzee,0.054786
1803,hummingbird,0.019348
1803,hyena,0.334408
1803,kangaroo,0.484445
1803,koala,0.004508
1803,macaw,0.051976
1803,meerkat,0.000741
1803,ostrich,1.3851
1803,penguin,0.526942
1803,tapir,0.163047
1803,tiger,4.779956
1803,toucan,0.131586
1803,wombat,0.025442
1804,chimpanzee,0.048634
1804,hummingbird,0.024906
1804,hyena,0.348493
1804,kangaroo,0.383224
1804,koala,0.004701
1804,macaw,0.054028
1804,meerkat,0.000509
1804,ostrich,1.434921
1804,penguin,0.511036
1804,tapir,0.140875
1804,tiger,4.998561
1804,toucan,0.139575
1804,wombat,0.027116
1805,chimpanzee,0.042638
